date,symbol,factor,prev_close_reported,close_previous_day
2026-03-03,20MICRONS,1.026501,174.69,170.18
2026-03-26,20MICRONS,0.970462,147.19,151.67
2026-03-31,20MICRONS,1.056933,140.72,133.14
2026-06-26,20MICRONS,1.039184,207.92,200.08
2026-01-26,21STCENMGM,1.020212,40.38,39.58
2026-03-03,21STCENMGM,1.020213,36.34,35.62
2026-03-26,21STCENMGM,1.020273,30.7,30.09
2026-03-31,21STCENMGM,1.020062,29.49,28.91
2026-04-03,21STCENMGM,1.020125,29.4,28.82
2026-02-02,360ONE,0.971348,1101.8,1134.3
2026-03-03,360ONE,1.026891,1103.6,1074.7
2026-03-31,360ONE,1.029275,977.4,949.6
2026-04-03,360ONE,1.02056,953.05,933.85
2026-05-01,3BBLACKBIO,1.054532,1264.7,1199.3
2025-12-25,3IINFOLTD,1.027267,17.33,16.87
2026-03-03,3IINFOLTD,1.028782,13.94,13.55
2026-04-03,3IINFOLTD,0.964262,14.3,14.83
2026-04-14,3IINFOLTD,0.976961,15.69,16.06
2025-11-05,3MINDIA,0.855511,30700.0,35885.0
2026-03-03,3MINDIA,1.051296,37505.0,35675.0
2026-03-31,3MINDIA,1.024734,30865.0,30120.0
2025-10-22,3PLAND,0.975783,41.1,42.12
2026-02-02,3PLAND,0.977099,34.56,35.37
2026-03-03,3PLAND,1.040764,32.68,31.4
2026-03-31,3PLAND,0.973559,28.72,29.5
2026-04-03,3PLAND,0.968596,31.46,32.48
2026-05-28,3PLAND,0.972249,30.83,31.71
2025-12-25,5PAISA,0.926915,315.8,340.7
2026-01-15,5PAISA,0.932418,356.65,382.5
2026-01-26,5PAISA,1.048636,353.6,337.2
2026-02-02,5PAISA,0.957588,331.9,346.6
2026-03-03,5PAISA,1.042026,319.85,306.95
2026-03-31,5PAISA,1.050783,261.75,249.1
2026-04-03,5PAISA,0.946843,270.21,285.38
2026-03-31,5PAISA-RE,0.666667,0.1,0.15
2026-04-03,5PAISA-RE,0.84,0.21,0.25
2026-01-15,63MOONS,1.023874,694.75,678.55
2026-01-26,63MOONS,1.046541,617.25,589.8
2026-02-02,63MOONS,0.970856,629.6,648.5
2026-03-31,63MOONS,1.037317,487.85,470.3
2026-04-14,63MOONS,0.96659,549.7,568.7
2025-10-22,A2ZINFRA,0.964699,15.85,16.43
2025-11-05,A2ZINFRA,0.964497,16.3,16.9
2025-12-25,A2ZINFRA,0.935652,16.14,17.25
2026-01-15,A2ZINFRA,0.952572,14.26,14.97
2026-03-03,A2ZINFRA,1.052415,17.87,16.98
2026-03-26,A2ZINFRA,0.959125,16.66,17.37
2026-03-31,A2ZINFRA,1.052263,16.51,15.69
2026-04-03,A2ZINFRA,0.978562,15.52,15.86
2025-10-22,AAATECH,0.953472,82.79,86.83
2025-12-25,AAATECH,1.023564,97.3,95.06
2026-01-15,AAATECH,0.960814,112.79,117.39
2026-03-03,AAATECH,1.035258,102.18,98.7
2026-02-02,AADHARHFC,0.978933,480.95,491.3
2026-04-03,AADHARHFC,1.027442,451.15,439.1
2026-06-26,AADHARHFC,0.976471,506.3,518.5
2026-03-31,AAKAAR,1.051975,50.6,48.1
2026-04-03,AAKAAR,0.95283,50.5,53.0
2026-04-14,AAKAAR,0.95409,57.15,59.9
2026-05-28,AAKAAR,0.9533,76.55,80.3
2026-03-31,AAKASH,1.039191,8.22,7.91
2026-06-26,AAKASH,1.030543,9.11,8.84
2025-10-22,AARADHYA,0.96338,153.9,159.75
2025-11-05,AARADHYA,1.030569,158.45,153.75
2026-01-15,AARADHYA,1.040984,127.0,122.0
2026-03-26,AARADHYA,0.96,108.0,112.5
2026-04-14,AARADHYA,1.090075,95.0,87.15
2026-01-26,AAREYDRUGS,0.952886,65.53,68.77
2026-02-02,AAREYDRUGS,0.951036,64.29,67.6
2026-03-03,AAREYDRUGS,1.101335,76.73,69.67
2026-03-26,AAREYDRUGS,1.029374,63.78,61.96
2026-03-31,AAREYDRUGS,1.101478,55.9,50.75
2026-04-14,AAREYDRUGS,0.95452,68.21,71.46
2026-03-03,AARNAV,1.023247,27.29,26.67
2026-03-31,AARNAV,1.051637,22.81,21.69
2026-04-03,AARNAV,1.021683,23.56,23.06
2026-05-28,AARNAV,0.979542,23.94,24.44
2025-10-22,AARON,0.965528,180.66,187.11
2025-11-05,AARON,1.022204,203.02,198.61
2026-03-03,AARON,1.056366,161.55,152.93
2026-03-26,AARON,1.023491,133.32,130.26
2026-03-31,AARON,1.09536,119.69,109.27
2026-04-03,AARON,0.901892,122.54,135.87
2026-04-14,AARON,1.021625,143.62,140.58
2026-05-28,AARON,1.026468,124.1,120.9
2025-12-25,AARTECH,0.944116,47.98,50.82
2026-01-15,AARTECH,0.97499,50.29,51.58
2026-01-26,AARTECH,1.02527,47.47,46.3
2026-03-03,AARTECH,1.031325,42.8,41.5
2026-03-31,AARTECH,1.135057,39.5,34.8
2026-04-03,AARTECH,0.945548,36.64,38.75
2026-04-14,AARTECH,0.935623,41.13,43.96
2026-05-28,AARTECH,1.026105,44.81,43.67
2026-06-26,AARTECH,0.960796,50.24,52.29
2025-12-25,AARTIDRUGS,0.977133,412.35,422.0
2026-03-03,AARTIDRUGS,1.027148,367.0,357.3
2026-03-31,AARTIDRUGS,1.034246,330.7,319.75
2026-03-03,AARTIIND,1.032798,447.15,432.95
2026-03-26,AARTIIND,0.970899,418.7,431.25
2026-03-31,AARTIIND,1.045984,417.4,399.05
2025-12-25,AARTIPHARM,1.028099,781.15,759.8
2026-01-15,AARTIPHARM,0.965713,764.7,791.85
2026-02-02,AARTIPHARM,0.978226,736.8,753.2
2026-03-03,AARTIPHARM,1.025434,723.7,705.75
2026-03-26,AARTIPHARM,0.97457,622.75,639.0
2026-03-31,AARTIPHARM,1.02855,608.85,591.95
2026-05-01,AARTIPHARM,0.95792,709.1,740.25
2026-05-28,AARTIPHARM,1.060053,694.6,655.25
2026-06-26,AARTIPHARM,1.028015,710.05,690.7
2025-10-22,AARTISURF,0.979309,480.4,490.55
2025-11-05,AARTISURF,1.023573,473.3,462.4
2026-01-26,AARTISURF,1.071103,434.6,405.75
2026-03-03,AARTISURF,1.050182,404.95,385.6
2026-03-31,AARTISURF,1.056524,339.25,321.1
2026-04-03,AARTISURF,0.964948,351.0,363.75
2026-04-14,AARTISURF,1.021357,404.1,395.65
2026-01-26,AARVI,1.023751,121.55,118.73
2026-02-02,AARVI,1.032301,132.63,128.48
2026-03-03,AARVI,1.061123,130.03,122.54
2026-03-26,AARVI,0.977945,125.04,127.86
2026-03-31,AARVI,1.022289,123.38,120.69
2026-04-14,AARVI,1.044183,131.4,125.84
2026-05-01,AARVI,1.025659,128.31,125.1
2026-05-28,AARVI,1.021896,138.61,135.64
2026-06-26,AARVI,1.046331,149.73,143.1
2026-01-15,AATMAJ,0.945455,20.8,22.0
2026-01-26,AATMAJ,1.131455,24.1,21.3
2026-02-02,AATMAJ,1.065534,21.95,20.6
2026-03-26,AATMAJ,1.076923,20.3,18.85
2026-04-03,AATMAJ,1.059432,20.5,19.35
2026-03-03,AAVAS,1.036691,1285.6,1240.1
2026-03-31,AAVAS,1.030056,1110.4,1078.0
2026-04-14,AAVAS,0.968993,1243.8,1283.6
2025-10-22,ABAN,0.970019,41.09,42.36
2025-11-05,ABAN,1.023871,39.46,38.54
2025-12-25,ABAN,1.052349,23.52,22.35
2026-01-15,ABAN,0.952727,18.34,19.25
2026-01-26,ABAN,1.048198,23.27,22.2
2026-03-31,ABAN,1.052418,23.29,22.13
2026-04-14,ABAN,1.052553,21.03,19.98
2026-05-01,ABANSENT,0.909404,39.65,43.6
2026-05-28,ABANSENT,1.02063,28.2,27.63
2026-02-02,ABB,0.974635,5437.0,5578.5
2026-03-31,ABB,1.027518,6105.0,5941.5
2026-05-28,ABB,0.942513,6804.0,7219.0
2026-01-15,ABCAPITAL,0.978388,350.85,358.6
2026-01-26,ABCAPITAL,1.020291,354.5,347.45
2026-02-02,ABCAPITAL,0.968805,329.2,339.8
2026-03-26,ABCAPITAL,0.960915,302.4,314.7
2026-03-31,ABCAPITAL,1.046193,305.75,292.25
2026-05-28,ABCOTS,1.035713,223.31,215.61
2025-10-22,ABDL,0.962313,580.9,603.65
2026-03-26,ABDL,0.969155,395.9,408.5
2026-05-01,ABDL,1.037702,551.85,531.8
